,M
374,-0.107279696
375,-0.16146688
376,-0.18281336
377,-0.053639848
378,0.04159825
379,0.018062398
380,0.013683635
381,0.02955665
382,0.11384784
383,0.13738368
384,0.113300495
385,0.1592775
386,0.2304324
387,0.29994527
388,0.22714832
389,-0.04597701
390,-0.3245758
391,-0.38149974
392,-0.33004925
393,-0.23481117
394,-0.11767925
395,-0.09469075
396,0.056376573
397,0.24685277
398,0.21346469
399,0.21893816
400,0.19376026
401,0.02134647
402,-0.08155446
403,-0.067870826
404,-0.025725232
405,0.09688013
406,0.21784346
407,0.2484948
408,0.26272577
409,0.25725234
410,0.23809524
411,0.14887795
412,0.05090312
413,-0.03886152
414,-0.04488232
415,-0.11056376
416,-0.09195402
417,-0.073891625
418,-0.00821018
419,0.08155446
420,0.13245758
421,-0.050355773
422,-0.15380405
423,-0.14340448
424,-0.09031199
425,-0.04871374
426,0.10892173
427,0.08429119
428,0.019704433
429,0.23700054
430,0.3568692
431,0.22112752
432,0.10344828
433,0.14504652
434,0.2353585
435,0.12315271
436,0.050355773
437,0.040503558
438,-0.10892173
439,-0.3497537
440,-0.44116038
441,-0.3617953
442,-0.07608101
443,0.16420361
444,0.17405583
445,0.12698413
446,0.058565956
447,-0.13793103
448,-0.07553366
449,0.037219487
450,-0.04871374
451,-0.055829227
452,0.13902572
453,0.34044883
454,0.29830322
455,0.18555008
456,0.17460318
457,0.124794744
458,-0.10290093
459,-0.18664478
460,-0.17077176
461,-0.15654078
462,-0.1242474
463,-0.14559387
464,-0.17405583
465,-0.33825943
466,-0.3076081
467,-0.07334428
468,0.00711549
469,-0.08812261
470,-0.120415986
471,-0.009852217
472,0.06896552
473,-0.12807882
474,-0.25615764
475,-0.107279696
476,-0.124794744
477,-0.318555
478,-0.34428024
479,-0.23973727
480,-0.14614122
481,-0.15708812
482,-0.081007116
483,-0.036124796
484,-0.10454296
485,-0.052545156
486,-0.054187194
487,-0.02244116
488,-0.019157087
489,0.030103996
490,0.20415983
491,0.39135194
492,0.32731253
493,0.18281336
494,0.17569786
495,0.107279696
496,0.05801861
497,0.038314175
498,0.03284072
499,0.19102353
500,0.3223864
501,0.33114395
502,0.14559387
503,0.033935413
504,-0.03448276
505,-0.040503558
506,-0.17952928
507,-0.31308156
508,-0.24904214
509,-0.066776134
510,-0.0027367268
511,-0.16201423
512,-0.29994527
513,-0.20087576
514,-0.119868636
515,-0.17460318
516,-0.17077176
517,0.016967706
518,0.112753145
519,0.196497
520,0.11494253
521,-0.08374384
522,-0.1423098
523,-0.10946908
524,0.023535851
525,0.08155446
526,-0.02736727
527,-0.04378763
528,0.09578544
529,0.04597701
530,-0.18555008
531,-0.33607006
532,-0.32676518
533,-0.20306513
534,-0.08812261
535,-0.08812261
536,0.10454296
537,0.31636563
538,0.35522714
539,0.2977559
540,0.14285715
541,0.1483306
542,0.242474
543,0.17350848
544,-0.012041599
545,-0.026819924
546,0.12151067
547,0.34099618
548,0.32019705
549,0.07553366
550,-0.030103996
551,-0.05473454
552,-0.050355773
553,-0.14997263
554,-0.23426382
555,-0.1603722
556,0.033388067
557,0.019157087
558,-0.06568144
559,-0.11548988
560,-0.112753145
561,-0.018062398
562,0.053092502
563,-0.018062398
564,0.03557745
565,0.092501365
566,0.04488232
567,-0.06130268
568,-0.20580186
569,-0.23700054
570,-0.0892173
571,0.010399562
572,0.030103996
573,0.10892173
574,0.1784346
575,0.16912971
576,0.06568144
577,-0.08264915
578,-0.15873016
579,-0.16091955
580,-0.05801861
581,0.032293376
582,-0.053639848
583,0.0060207993
584,0.1784346
585,0.27695677
586,0.07334428
587,-0.1833607
588,-0.29118773
589,-0.2025178
590,-0.15106732
591,-0.256705
592,-0.2955665
593,-0.14066777
594,-0.008757526
595,0.09085933
596,0.040503558
597,-0.042145595
598,-0.009304872
599,-0.024083197
600,-0.038314175
601,-0.047071703
602,-0.0711549
603,0.031198686
604,0.068418175
605,-0.012041599
606,-0.009304872
607,0.106185004
608,0.17515051
609,0.17569786
610,0.15654078
611,0.16694035
612,0.23426382
613,0.2293377
614,0.24521072
615,0.08812261
616,-0.062397372
617,-0.025177887
618,0.1182266
619,0.068418175
620,-0.10946908
621,-0.09797482
622,-0.017515052
623,0.08155446
624,-0.19102353
625,-0.42802408
626,-0.24083197
627,-0.08429119
628,-0.11494253
629,-0.08210181
630,0.0032840723
631,0.093596056
632,0.2014231
633,0.119321294
634,-0.049808428
635,-0.07881773
636,-0.018609744
637,0.00711549
638,0.062397372
639,0.100164205
640,0.242474
641,0.28790367
642,0.21291736
643,0.08538588
644,0.07608101
645,0.08538588
646,0.066776134
647,0.0054734536
648,-0.06458675
649,-0.010946907
650,-0.008757526
651,0.054187194
652,-0.056376573
653,-0.30706075
654,-0.22714832
655,0.013683635
656,0.07334428
657,0.03284072
658,-0.0054734536
659,0.03065134
660,0.18719211
661,0.17624521
662,0.07881773
663,0.068418175
664,0.14449918
665,0.27914613
666,0.20306513
667,0.09633279
668,0.1122058
669,0.258347
670,0.22714832
671,0.059660647
672,-0.08429119
673,-0.07608101
674,-0.035030104
675,-0.06622879
676,-0.0711549
677,-0.039408866
678,0.0032840723
679,0.105637655
680,0.051450465
681,-0.037219487
682,0.004378763
683,0.057471264
684,-0.042145595
685,0.0
686,0.081007116
687,0.0771757
688,0.12972085
689,0.1412151
690,-0.119868636
691,-0.37110016
692,-0.3338807
693,-0.20689656
694,-0.14559387
695,-0.1954023
696,-0.21182266
697,-0.06458675
698,0.036124796
699,-0.13355227
700,-0.30322933
701,-0.21948549
702,-0.15982485
703,-0.10946908
